Headline,Date and Time,Details
"Bangladesh accuse Kohli of 'fake fielding' in World Cup loss
","November 3, 2022","Bangladesh have blamed “fake fielding” by India's Virat Kohli for their nailbiting Twenty20 World Cup loss and will raise it with cricket's governing body, an official told "
Pakistan focusing on controllables in bid to reach T20 World Cup semis: Shadab,"November 4, 2022",Pakistan’s focus on controlling “the controllable things” helped them keep their faint hopes of reaching the Twenty20 World Cup semi-finals alive with a 33-run 
New Zealand beat Ireland to all but reach T20 World Cup semi-finals,"November 4, 2022",Skipper Kane Williamson hit a quickfire half-century to all but take New Zealand into the Twenty20 World Cup semi-finals as they hammered Ireland by 35 runs on Friday.
"Nabi quits as Afghanistan skipper after winless exit
","November 5, 2022","ADELAIDE: All-rounder Mohammad Nabi quit as captain of Afghanistan’s Twenty20 team on Friday, barely an hour after their winless World Cup campaign ended with a "
India aim to be clinical in T20 World Cup semi-final push,"November 5, 2022",Allrounder Ravichandran Ashwin said Saturday India must pile the pressure on early and be clinical in their execution if they want to get past Zimbabwe and into the Twenty20 World Cup semi-finals.
Pakistan ‘lost sleep’ over T20 World Cup losses but bounced back: Shan Masood,"November 5, 2022",Pakistan batsman Shan Masood on Saturday praised his team’s character in battling back to stay in the hunt for a semi-finals spot after losing their first two matches at the Twenty20 World Cup.
"Kim fears US, South Korea planning ‘decapitation strikes’, experts say
","November 4, 2022",SEOUL: North Korea fired more missiles in the last 48 hours than it did during the whole of 2017 — the year of  “fire and fury” when leader Kim Jong Un traded barbs with then-US president Donald Trump.
"China's message to US: Ties with Pakistan ‘none of your business’
","November 4, 2022","WASHINGTON: The Chinese feel that the United States should not urge China and Pakistan to renegotiate Beijing’s debt and should not ‘bad mouth’ the Pakistan-China relationship, according to the director of the China programme at the Stimson Centre."
"Woman run over three times — by her own car
","November 5, 2022","GENEVA: A woman was seriously injured when she got out of her car with the engine still on, only for it to run her over three times, Swiss police said on Friday."
"British minister terms migrants’ complaints of poor facilities ‘cheek’
","November 5, 2022","The UK’s government, specially the Home Office, which has been under fire over its treatment of asylum seekers over the past weeks, saw a fresh wave of censure on Friday after a minister said it was “a bit of a cheek” for migrants to complain about conditions at an overcrowded asylum processing centre."
"Hindu extremist leader shot dead in Amritsar
","November 5, 2022","NEW DELHI: A rightwing Hindu leader was shot dead in Amritsar on Friday and its impact was expected in faraway Gujarat, where state polls are scheduled to be held next month."
Thirteen people killed in Russian nightclub fire,"November 5, 2022","Thirteen people were killed when a fire tore through a crowded nightclub in the Russian city of Kostroma in the early hours of Saturday, officials said."
"India seeks release of former naval officers arrested in Qatar
","November 6, 2022","NEW DELHI: For three months Qatar has detained eight former Indian navy officers, and New Delhi says it is trying to get them released, reports said on Saturday. "
"Twitter layoffs fuel misinformation concerns
","November 6, 2022","WASHINGTON: Twitter’s new owner Elon Musk has pledged the platform will not devolve into a  “free-for-all hellscape,” but experts warn that mass layoffs may deeply impair the social network’s ability to curb misinformation."
"Pakistan, China ink yuan clearing deal
","November 3, 2022","KARACHI: The central banks of Pakistan and China signed a memorandum of cooperation on yuan clearing in Pakistan, the Chinese central bank said in a statement on Wednesday, without giving more details."
"Arid varsity comes up with business ideas for graduates
","November 4, 2022","RAWALPINDI: To facilitate the fresh graduates and entrepreneurs with brilliant business ideas, Qamaruz Zaman Incubation Centre was established at Pir Mehr Ali Shah Arid Agriculture University Rawalpindi here on Thursday."
"Stocks continue upward rally on cherry-picking
","November 4, 2022",KARACHI: Positive momentum continued on the Pakistan Stock Exchange on Thursday even though the benchmark opened in the red territory.
Bank of England announces biggest rate hike in 33 years,"November 4, 2022",LONDON: The Bank of England on Thursday announced its biggest interest rate hike since 1989 to combat sky-high inflation that it warned was pushing Britain into a recession set to last until mid-2024.
"Food items drive weekly inflation to 30.6pc YoY
","November 4, 2022","Prices of essential food items, including tomatoes and onions, continued to be a major factor as weekly inflation measured by the Sensitive Price Index (SPI) clocked in at 30.6 per cent year-on-year (YoY) for the week ending on Nov 3, "
"Should share buybacks be taxed?
","November 6, 2022",KARACHI: WhatsApp groups are abuzz with speculations about the possibility of a tax on share buybacks — an increasingly popular practice that lets listed companies purchase their own shares on the stock exchange to improve their market value.
"Investors extend tenor of Summit Bank’s TFC
","November 5, 2022","KARACHI: Bondholders of Summit Bank Ltd have approved a one-year extension in the maturity date of a Rs1.5 billion term finance certificate (TFC), the bank said on Friday."
"Whirlwind Friday at Twitter sees layoffs and lawsuit
","November 5, 2022","TWITTER temporarily closed its offices on Friday after thousands of employees were ordered to stay home and await their fate as the company announced mass layoffs, as part of new owner Elon Musk’s plans for a “major overhaul of the company”."
"ECC hikes petroleum levy on ‘luxury vehicle fuel’ to bridge revenue shortfalls
","November 5, 2022","ISLAMABAD: As the country’s fiscal deficit surged by 43 per cent in the first quarter of the current fiscal year, the government on Friday decided to increase Petroleum Development Levy (PDL) by about 67pc (Rs20 per litre) on top quality petrol used in luxury vehicles."
"Exports of services grew 4.6pc in July-September
","November 6, 2022","ISLAMABAD: Service exports grew 4.63 per cent in the first quarter of the current fiscal year, mainly driven by information technology."
"Incoming inflows yet to trigger rupee turnaround
","November 6, 2022","KARACHI: The dollar remained unchanged at Rs227.75 on Saturday in the open market, unmoved by Finance Minister Ishaq Dar’s guarantee a day ago that the country had secured about $13 billion in additional financial support from two friendly countries, on top of assurances for about $20bn investments."
"Govt sees ‘religious extremism’ behind attack on PTI chief
","November 5, 2022",ISLAMABAD: Interior Min­ister Rana Sanaullah on Friday termed the 
"Another British-era building collapses in Karachi's old city area
","November 6, 2022",			
"Imran’s counsel seeks time from SC in contempt case
","November 6, 2022",ISLAMABAD: A senior counsel representing former prime minister and Pakistan Tehreek-i-Insaf (PTI) Chairman Imran Khan on Saturday requested the Supreme Court not to fix the contempt case moved by the federal government against his client for the time being.
Govt instructs Pemra to lift ban on Imran’s press conferences,"November 5, 2022",The government on Saturday instructed the Pakistan Electronic Media and Regulatory Authority (Pemra) to reverse a ban on television channels from broadcasting or rebroadcasting PTI Chairman Imran Khan’s press conferences.
"Deadlock persists over Wazirabad incident FIR
","November 6, 2022",LAHORE: The controversy surrounding the first information report (FIR) of a 
"Islamabad's Polyclinic resumes evening OPD service after two years
","November 6, 2022","ISLAMABAD: After a hiatus of two years, PolyClinic, the second-largest hospital in the federal capital, resumed its evening outpatient department (OPD) services on Saturday, reducing the burden on the emergency department by 70 per cent."
"Pakistan beat Bangladesh, use Dutch treat to keep World Cup dream alive
","November 6, 2022",Fast bowler Shaheen Shah Afridi returned career-best figures of 4-22 to lead Pakistan into the Twenty20 World Cup semi-finals with a five-wicket win over Bangladesh in a do-or-die clash on Sunday.
Azam Swati video: SC says PTI senator never stayed at its Quetta lodges,"November 6, 2022",The Supreme Court (SC) on Sunday issued a rebuttal and denied that PTI Senator Azam Swati stayed at its judicial lodges in Quetta in the wake of his 
"Aaron Carter, singer and brother of Backstreet Boys’ Nick Carter, passes away at age 34","June 29, 2015","THERE is an overarching force in China with tentacles reaching deep into almost everybody’s life. That force is not the Communist party, whose influence in people’s day-to-day affairs - though all too real - has waned and can appear almost invisible to those who do not seek to buck the system. "
"Iraq mulls reinstating conscription
","November 7, 2022","BAGHDAD: Iraqi lawmakers were due on Sunday to examine a bill seeking to reestablish military conscription in the country, before the first reading was postponed."
"Nine killed in Syrian regime rocket attack
","November 7, 2022","KAFR JALES: Syrian regime rocket fire killed nine people, including three children, at makeshift camps for displaced people in the country’s last major rebel-held bastion early on Sunday, a war monitor said."
"Gigi Hadid quits Twitter, says it’s becoming a ‘cesspool of hate and bigotry’ that she doesn’t want to be a apart of","June 29, 2015","EVERY silver lining has a cloud. The technologies that offer human beings comforts and opportunities that would have been unimaginable two centuries ago ultimately depend on an abundance of energy. Fire is the source of that energy. But the burning of fossil fuels, from which we gain so much, also releases the carbon dioxide that threatens to destabilise the climate."
"19 die after plane plunges into lake in Tanzania
","November 7, 2022",			
"Fazl expresses ‘doubts’ about attack on Imran
","November 7, 2022",			
"DSP, two SHOs among five cops dead in robbers’ attack in Ghotki
","November 7, 2022","SUKKUR / HYDERABAD: A deputy superintendent of police, two station house officers (SHOs), and two constables were killed while three others received injuries as a result of an attack by at least 150 dacoits on a police camp in the riverine area of Ghotki district in the wee hours of Sunday."
"Go home if unable to get FIR lodged, Kaira tells Imran
","November 7, 2022",LAHORE: Prime Minister’s Adviser on Kashmir and Gilgit-Baltistan Qamar Zaman Kaira has challenged Pakistan Tehreek-i-Insaf (PTI) Chairman Imran Khan to go home if he cannot get justice from his own party’s administration in Punjab.
"Taliban reveal burial place of founder Mullah Omar
","November 7, 2022","KABUL: The Taliban on Sunday revealed the final resting place of the movement’s founder, Mullah Omar, whose death and burial they kept secret for years."
"A pie with many stakeholders
","November 7, 2022",The proceedings and 
"Pakistan's current political troubles are pushing the country to the edge of economic precipice
","November 7, 2022",THE 
Headline,Date and Time,Details
‘Made-in-Sialkot’ ball puts Pakistan in FIFA World Cup,"December 9, 2022","Even though it is a cricket-mad nation, Pakistan is playing a big part in the football World Cup by making the balls used on the training fields in Qatar and the replicas sold to fans worldwide."
"Urea price hits Rs3,000 a bag
","December 9, 2022","LAHORE:  Despite the import of urea, farmers complain that market costs for  compost have climbed significantly. Amanullah Chattha, vice-president of  Kissan Board Pakistan, said in a statement here on Thursday that although the government imported 33,000 tonnes of fertiliser from abroad, urea compost is sold for Rs3,000 per bag in the local market."
"Stocks down on worsening economic conditions
","December 9, 2022",KARACHI: Stock prices plummeted on Thursday after bouncing within a small range on the back of a deteriorating macroeconomic situation.
"Twitter to charge $11 for Blue on iPhone
","December 9, 2022","SAN FRANCISCO: Twitter Inc plans to change the pricing of its Twitter Blue subscription product to $11, from $7.99, if paid for through its iPhone app and to $7 if paid for on the website, the Information reported on Wednesday, citing a person briefed on the plans."
"Israeli troops kill three Palestinians in West Bank
","December 9, 2022","JENIN: Israeli troops killed three Palestinians on Thursday in their latest deadly raid on the flashpoint city of Jenin, Palestinian health officials said, as violence surges in the occupied West Bank."
"King Charles coins enter circulation
","December 9, 2022","LONDON: The first coins bearing the likeness of Britain’s King Charles III entered circulation on Thursday, The Royal Mint announced."
"Hide your PIN: Indian ATM now dispenses gold coins
","December 9, 2022","MUMBAI: From the outside, it looks just like a regular cash dispenser, but this is India’s first ever  “gold ATM”, delivering gold coins at the click of a button in a country where gold is often seen as a safe and preferred investment."
"Indian opposition turns the corner with key polls
","December 9, 2022",NEW DELHI: Poll results from two state assemblies and a politically crucial Delhi municipal contest together with a string of verdicts from by-elections on Thursday indicated the waning of the Bharatiya Janata Party and launch of the long-awaited coming together of India’s fractious opposition.
"EU welcomes Croatia into Schengen
","December 9, 2022","BRUSSELS: The EU on Thursday approved Croatia as the newest member of the border check-free Schengen zone from next month, but Austria and the Netherlands blocked Romania and Bulgaria from joining."
England 281 all out as Abrar Ahmed takes seven on debut,"December 9, 2022",England were all out for 281 in their first innings after electing to bat on the opening day of the second Test against Pakistan in Multan on Friday.
"No end to violence
","December 7, 2022","LAST month, a man came home to his wife and children. The home had two floors. He stopped on the ground floor and met his mother. Then he proceeded upstairs where he lived with his wife and three daughters, the eldest of whom was 16. He then sat down for a meal with his daughters, but a fight broke out between him and his wife."
"Elite politics
","December 5, 2022","UNREMITTING political confrontations have left the country exhausted and emaciated. Political tensions show no sign of abating. Political leaders often claim the next round of battle will be decisive but their war rages on. The war paradigm guides their political behaviour. Opponents are seen as enemies, not competitors. Politics is about vanquishing the enemy and eliminating them from the political scene in a terminal conflict."
"Leadership qualities
","December 9, 2022",ALLAH says that He will not change the condition of a nation as long as the nation does not change itself (13:11).
"Pakistan is not defaulting, but the world remains in the clutches of an economic crisis
","December 9, 2022","SOVEREIGN defaults bring about a lot of misery in their wake from long lines for medicines and infant formula to social unrest and political violence. Surprisingly, defaults are very common as 147 defaults have taken place worldwide since 1960."
"Elahi must dissolve PA to maintain alliance, says Fawad","December 9, 2022",LAHORE: Pakistan Tehreek-i-Insaf (PTI) senior leader Fawad Chaudhry on Thursday declared that Punjab Chief Minister Chaudhry Parvez Elahi will have to dissolve the provincial assembly if his party wants to stay allied with the PTI.
"A saffron silence
","December 8, 2022","HAD William Shakespeare been alive today in Pakistan, he would have given a different twist to his drama Julius Caesar. He would have reframed history in the light of our experience. His Pakistani Caesar would have survived to revenge himself on those who brought him to power."
Islamabad’s Centaurus Mall partially de-sealed,"December 6, 2022",The Capital Development Authority partially de-sealed the Centaurus Mall — a high-rise shopping centre located in Islamabad’s F-8 sector on the confluence of Jinnah and Faisal avenues — on Tuesday evening after a day-long closure over violations of building regulations.
"Disquiet on the western front
","December 7, 2022","IT is very difficult for Pakistan to be delinked from Afghanistan, because of reasons of geography and history. Yet a strategically mature and realistic policy is needed to manage relations cordially with Pakistan’s western neighbour."
"Terror nexus in Afghanistan
","December 7, 2022",THE attack on the Pakistan embassy in Kabul last week raises questions about the Taliban administration’s capacity and resolve to fight terrorist groups operating from Afghan soil. The shooting that targeted the chargé d’affaires seems to be an extension of the militants’ war on the Pakistani state.
"Nawaz greenlights poll prep as ‘N’ pushes back plans to ‘save assembly’
","December 7, 2022",LAHORE: In an apparent effort to dispel the impression that the PML-N is 
"AJK LG polls: PTI clinches victories in most rural, urban councils of Mirpur
","December 9, 2022",MUZAFFARABAD: The ruling PTI clinched victories in most rural and urban councils of Mirpur division where polling was held on Thursday in the third and last leg of local government (LG) elections in Azad Jammu and Kashmir (AJK) amid a largely peaceful environment.
5 reasons why you should attend the It Happens Only in Pakistan film festival in Karachi this weekend,"June 30, 2015",QUETTA: An anti-terrorism court has indicted Baloch nationalist leader Harbiyar Marri and 32 others in the Ziarat Residency bombing case.
"All Pakistan Squash starts today
","December 6, 2022",KARACHI: The qualifying round of the inaugural Chief of the Naval Staff All Pakistan Squash Cham­pionship commences here at the PN Roshan Khan-Jahangir Khan Squash Complex on Tuesday.
"England faced with torturous task of stopping Mbappe
","December 6, 2022","DOHA: Matty Cash had just witnessed up close the blinding pace and brilliant finishing of the sharpshooting, quick-footed Kylian Mbappe. "
"Portugal’s Ronaldo in sharp focus ahead of Switzerland clash
","December 6, 2022",AL RAYYAN: Speculation regarding the future of Portu­gal’s Cristiano Ronaldo and his outburst following his substitution against South Korea were in sharp focus on Monday ahead of their World Cup last-16 game against Switzerland.
"Morocco to ‘come out swinging’ against Spain
","December 6, 2022",DOHA: Morocco coach Walid Reg­ragui has urged his team to believe they can defeat powerhouse Spain as they attempt to reach a first World Cup quarter-final.
"Pindi Test: Pakistan keep themselves in ‘dark ages’, brave England light years ahead
","December 6, 2022","HATS off to England, the brave England, for reviving five-day cricket. Test cricket was dead — or perhaps was meant to shield home batters — and almost buried on the first four days at the Pindi Cricket Stadium. But eventually the courage and the belief innovatively inculcated into this Ben Stokes-led brigade by Brendon McCullum "
Stoked: England skipper hails ‘special’ win in Pakistan,"December 6, 2022",Skipper Ben Stokes hailed England’s nail-biting 
Injured Haris Rauf ruled out of England series,"December 6, 2022","Pace spearhead Haris Rauf has been ruled out of the remainder of the Test series against England due to an injury, the Pakistan Cricket Board (PCB) said in a statement on Tuesday."
"Shall we dance? Brazil cop flak, praise for World Cup shenanigans
","December 7, 2022","DOHA: Brazil’s players have divided opinion after they celebrated their goals in the 4-1 World Cup mauling of South Korea with some extravagant dance moves, with even their coach getting in on the act."
Angry David Warner abandons bid to overturn Australia leadership ban,"December 7, 2022","David Warner withdrew a bid to overturn his lifetime Australian leadership ban on Wednesday, claiming an independent review panel wanted to “conduct a public lynching” and it would be traumatic for his family."
"Activists take Qatar workers protest to FIFA chief’s hometown
","December 8, 2022","BRIG: An activist group erected protest billboards in FIFA boss Gianni Infantino’s Swiss home town of Brig on Wednesday to demand the world football body compensate migrant workers for alleged human rights abuses in Qatar, host of the football World Cup."
"Eden Hazard quits international football
","December 8, 2022","DOHA: Belgium star Eden Hazard announced his retirement from international football on Wednes­day, days after the team crashed out of the World Cup in the group stage."
"Netherlands chirpy, Argentina quiet ahead of quarter-final clash
","December 8, 2022",			
"Stokes eyes Wood's pace boost for England in 2nd Pakistan Test
","December 8, 2022",England skipper Ben Stokes said Thursday the express pace of fit-again Mark Wood would help counter dry and spin-friendly conditions in the second Test against Pakistan.
"Trump’s company convicted of scheme to defraud tax authorities
","December 7, 2022","NEW YORK: Donald Trump’s real estate company was convicted on Tuesday of carrying out a 15-year-long criminal scheme to defraud tax authorities, adding to the legal woes facing the former US president as he campaigns for the office again in 2024."
"China comes to standstill for late leader Jiang’s memorial
","December 7, 2022","BEIJING: Sirens wailed across China as the country came to a standstill on Tuesday during a public memorial service for former leader Jiang Zemin, a tentative moment of unity after anti-lockdown protests shook the nation last week."
Japan announces grant of $38.9m for Pakistan flood victims,"December 7, 2022","Japan has announced its plan to provide a “grant assistance” of $38.9 million to Pakistan as part of the country’s supplementary budget to deliver life-saving aid to the flood victims, its embassy in Islamabad said on Wednesday."
China’s Xi arrives in Saudi Arabia for energy-focused visit,"December 7, 2022",Chinese President Xi Jinping touched down in Saudi Arabia on Wednesday for a visit that is likely to focus on energy ties as Washington warned of Beijing’s growing influence.
"US to tighten noose around TTP, IS-K: State Dept
","December 8, 2022","WASHINGTON: The United States has pledged to further tighten the noose around militant groups such as the Islamic State-Khorasan (IS-K) and the outlawed Tehreek-i-Taliban Pak­­istan (TTP), as the two terrorist outfits step up their activities in Pakistan and Afghanistan."
"Lightning kills 907 in India as extreme weather surges in 2022
","December 8, 2022","NEW DELHI: India saw a big jump in extreme weather events such as heatwaves and lightning strikes this year and related deaths rose to their highest in three years, government data showed on Wednesday, with scientists blaming climate change for the heavy toll."
"Time magazine names Zelensky ‘Person of the Year’
","December 8, 2022",			
China’s capital adjusts to life with Covid after policy reversal,"December 8, 2022",The Chinese capital showed tentative signs of a return to normal on Thursday after a 
"Gas utilities fail to meet loss cutting targets
","December 5, 2022","ISLAMABAD: Despite unprecedented hike in inter­national oil and gas prices and resultant incr­ease in import bill of two essential commodities, the two gas utilities have failed to control system losses against regulatory targets approved by the government."
"Russia to provide petrol, diesel to Pakistan at discounted rates: minister
","December 5, 2022","State Minister for Petroleum Musadik Malik announced on Monday that Russia has decided to provide crude oil, petrol, and diesel to Pakistan at discounted rates."
"Regulator advises PM to establish coal authority
","December 6, 2022","ISLAMABAD: The National Electric Power Regulatory Authority (Nepra) has advised the prime minister to establish a dedicated coal authority to deal with all issues about coal imports, including tendering, product specifications and related matters."
"Govt urged to release soybean containers stuck at Port Qasim
","December 6, 2022","KARACHI: The crisis triggered by soybean’s acute shortage in the market is daily causing a national loss of 2m to 3m chicks while pushing up prices of poultry products across the country, representatives of Pakistan Poultry Association (PPA) told a press conference at the Karachi Press Club on Monday."
"Govt seeks major IMF shareholders’ help for $7bn plan
","December 7, 2022",ISLAMABAD: Pakistan on Tuesday engaged three major International Monetary Fund (IMF) shareholders for support in seeking $7 billion economic bailout package and quashed rumours about any imminent financial emergency in an attempt to pacify jittery markets.
"Emirati firm in talks to buy Telenor Pakistan
","December 7, 2022","KARACHI: Ownership of the country’s second-largest cellular service provider may soon change hands as Telenor Pakistan looks to exit the country amid growing cost of doing business and shrinking prospects, "
"Subscription for first developmental REIT to begin next week
","December 7, 2022",KARACHI: The general public will be able to buy shares in Pakistan’s first developmental Real Estate Investment Trust (REIT) on Dec 14 and 15 ahead of its upcoming listing on the Pakistan Stock Exchange.
Pakistan projected to be among largest economies in the world by 2075: Goldman Sachs,"December 7, 2022",A research paper published by Goldman Sachs on Tuesday projected Pakistan to be the sixth largest economy in the world by 2075 given “appropriate policies and institutions” are in place.
"Government borrows Rs1.21tr from banks to bridge fiscal gap
","December 8, 2022",KARACHI: The government has been borrowing extensively from the banking system to bridge the widening fiscal gap. 
"Govt urged to deal with Afghan refugees on humanitarian grounds
","December 8, 2022","ISLAMABAD: Pakistan nee­ded to deal with the issue of Afghan refugees on humanitarian grounds and enact domestic laws to become a signatory to the international conventions for being the largest host country of refugees, experts said at a panel discussion on Wednesday."
"NAB seeks unfreezing of Dar’s assets
","December 8, 2022",LAHORE: Finance Minister Ishaq Dar got a major relief as the National Accountability Bureau (NAB) has written to different banks and departments to unfreeze his accounts amounting to over Rs500 million and detach his properties in Lahore and Islamabad in the light of court orders.
"Centre, Punjab vow action against ‘altered’ Quran publication
","December 8, 2022",LAHORE: The principal secretaries to Prime Minister Shehbaz Sharif and Punjab Chief Minister Chaudhry Parvez Elahi on Wednesday gave an undertaking before the Lahore High Court regarding the implementation of a 
Arshad Sharif suo motu case: SC seeks progress report from JIT every two weeks,"December 8, 2022",The Supreme Court on Thursday directed the special joint investigation team (JIT) formed to probe the killing of senior journalist Arshad Sharif in Kenya to submit a progress report every two weeks.
"Fact-finding report terms Arshad Sharif’s murder ‘targeted’
","December 8, 2022","• Investigators say ‘transnational roles of characters in Kenya, Dubai, and Pakistan’ cannot be ruled out"
‘Not accused of any wrongdoing’: Daily Mail apologises to PM Shehbaz for false corruption allegation,"December 8, 2022",British publication 
"German coup plotters 'heavily armed and dangerous', says police chief
","December 8, 2022",A German far-right group 
Pakistan need to rediscover its heavy metal style to counter England’s ‘Bazball’ in Multan,"December 8, 2022","The awe that England struck us all with, may have made us feel slightly better about Pakistan’s defeat in the "
"Straight-faced Lionel Scaloni measures Dutch challenge
","December 9, 2022",DOHA: It wasn’t long after Louis van Gaal and Memphis Depay had left one news conference hall bursting with smiles and laughter that Lionel Scaloni took to the podium in the one opposite to it to answer questions. The difference in mood between the two rooms was obvious; the latter much more tense.
"Qatar probing death of worker at World Cup training site
","December 9, 2022","DOHA: Qatar has launched a work safety investigation into the death of a Filipino, officials said on Thursday, following reports that the man died while working at a training site during the football World Cup."
"Residential areas in Punjab, KP, Islamabad without gas at mealtime
","December 9, 2022","LAHORE: According to a report by the Intelligence Bureau (IB), Sui Northern Gas Pipelines Limited (SNGPL) has failed to supply gas to consumers, particularly home consumer, during mealtimes in certain areas of Punjab, Khyber Pakhtunkhwa, and Islamabad Capital Territory (ICT).  "
"Qatar to invest $3bn in Pakistan: envoy
","December 9, 2022",ISLAMABAD: Ambassador of the state of Qatar Sheikh Saoud Abdulrahman Al-Thani on Wednesday said an investment worth $3 billion would be made in Pakistan.
"Bosnian woman seeks KP ombudsperson’s help to claim dower
","December 9, 2022",PESHAWAR: A Bosnian woman has moved the provincial anti-harassment ombudsperson against her stepson and brothers-in-law alleging they’re trying to deprive her of property given to her by her late Pakistani husband as dower (haq mehr).
"Apex court to ‘facilitate’ JIT probing Arshad Sharif’s murder
","December 9, 2022",ISLAMABAD: The Supreme Court on Thursday threw its weight behind the five-member Special Joint Investigation Team (SJIT) constituted to ensure “effective foreign liaison” regarding the probe into the 
"After two months, trade activities resume at GB's Sost dry port
","December 9, 2022",GILGIT: The clearance of impor­ted consignments from China through the Khunjerab Pass has finally resumed at Sost dry port after remaining suspended for more than two months due to a row between senior customs officials.
President Arif Alvi wants politicians to ‘cash in’ on army’s ‘apolitical’ stance,"December 9, 2022",ISLAMABAD: President Arif Alvi on Thursday urged politicians to “grab the op­­p­o­rtunity” resulting from the mi­­­litary’s planned retreat from politics and work toge­ther to strengthen democracy.
"Youth gives Karachi International Book Fair a dazzling start
","December 9, 2022",KARACHI: The 17th five-day Karachi International Book Fair (KIBF) organised by the Pakistan Publishers and Booksellers Association (PPBA) and the National Book Foundation (NBF) opened at the Expo Centre on Thursday afternoon.  
"Another girl murdered after being raped in Karachi
","December 9, 2022","KARACHI: A teenage girl was raped and murdered allegedly by a man, who was overpowered by area people while fleeing, in Gulshan-i-Iqbal on Thursday, police said."
"28 females among 683 ASIs join Sindh police after training
","December 9, 2022","KARACHI: Some 683 Assistant Sub-Inspectors, including 28 women, completed their training and joined the Sindh police in Karachi and other parts of the province on Thursday. "
"Tweets case: BHC orders quashing of all FIRs registered against Azam Swati in Balochistan
","December 9, 2022",The Balochistan High Court directed police on Friday to quash all five first information reports (FIRs) registered against PTI Senator Azam Swati in the province over his controversial tweets against top military officials and release him if he was not booked in any other cases.
SC declares agreement for Reko Diq revival legal,"December 9, 2022",The Supreme Court (SC) on Friday declared an 
